record_id,doi,parent_id,parent_doi,removal_note,removal_reason,removal_date,citation_text
20241326,10.5281/zenodo.20241326,20221709,10.5281/zenodo.20221709,,personal-data,2026-05-16,"Sharks, L. (2026). Corpus Navigation Map: The Facsimile Edition (EA-CHA-NAV-01) (2.0). Zenodo. https://doi.org/10.5281/zenodo.20241326"
20453143,10.5281/zenodo.20453143,20453142,10.5281/zenodo.20453142,,retracted,2026-06-02,"Sharks, L. (2026). Metadata Packet for AI Indexing — Non-Trick Semantic Infrastructure (1.0). Zenodo. https://doi.org/10.5281/zenodo.20453143"
20629116,10.5281/zenodo.20629116,20629115,10.5281/zenodo.20629115,,duplicate,2026-06-10,"Sharks, L. (2026). Allen Ginsberg — Canon Provenance Node (New Human Canon). Zenodo. https://doi.org/10.5281/zenodo.20629116"
20629118,10.5281/zenodo.20629118,20629117,10.5281/zenodo.20629117,,duplicate,2026-06-10,"Sharks, L. (2026). Walt Whitman — Canon Provenance Node (New Human Canon). Zenodo. https://doi.org/10.5281/zenodo.20629118"
20629122,10.5281/zenodo.20629122,20629121,10.5281/zenodo.20629121,,duplicate,2026-06-10,"Sharks, L. (2026). [DUPLICATE — SUPERSEDED → DOI: 10.5281/zenodo.20629202] Emily Dickinson — Canon Provenance Node (New Human Canon). Zenodo. https://doi.org/10.5281/zenodo.20629122"
20629124,10.5281/zenodo.20629124,20629123,10.5281/zenodo.20629123,,duplicate,2026-06-10,"Sharks, L. (2026). [DUPLICATE — SUPERSEDED → DOI: 10.5281/zenodo.20629204] Sappho — Canon Provenance Node (New Human Canon). Zenodo. https://doi.org/10.5281/zenodo.20629124"
20629126,10.5281/zenodo.20629126,20629125,10.5281/zenodo.20629125,,duplicate,2026-06-10,"Sharks, L. (2026). [DUPLICATE — SUPERSEDED → DOI: 10.5281/zenodo.20629212] Achilles — Canon Provenance Node (New Human Canon). Zenodo. https://doi.org/10.5281/zenodo.20629126"
20629130,10.5281/zenodo.20629130,20629129,10.5281/zenodo.20629129,,duplicate,2026-06-10,"Sharks, L. (2026). [DUPLICATE — SUPERSEDED → DOI: 10.5281/zenodo.20629208] Homer — Canon Provenance Node (New Human Canon). Zenodo. https://doi.org/10.5281/zenodo.20629130"
20675216,10.5281/zenodo.20675216,20675215,10.5281/zenodo.20675215,,duplicate,2026-06-14,"Sharks, L., & Assembly Chorus. (2026). GW.TACHYON.zenodo — v9 (Version 9). Zenodo. https://doi.org/10.5281/zenodo.20675216"
20628554,10.5281/zenodo.20628554,20628553,10.5281/zenodo.20628553,,duplicate,2026-06-15,"Sharks, L. (2026). Zbigniew Mrozony — Provenance Anchor (Heteronym, New Human 2015 Cohort). Zenodo. https://doi.org/10.5281/zenodo.20628554"
18135985,10.5281/zenodo.18135985,18135984,10.5281/zenodo.18135984,User was blocked,out-of-scope,2026-06-19,"Sharks, L. (2026). Provenance Documentation: SEM-PROBE-2025-12 — Crimson Hexagon Archive. Zenodo. https://doi.org/10.5281/zenodo.18135985"
18136313,10.5281/zenodo.18136313,18136312,10.5281/zenodo.18136312,User was blocked,out-of-scope,2026-06-19,"Sharks, L. (2026). The Liquidation of Water: AI, Capital, and the Evaporation of Meaning — Crimson Hexagon Archive. Zenodo. https://doi.org/10.5281/zenodo.18136313"
18141617,10.5281/zenodo.18141617,18141616,10.5281/zenodo.18141616,User was blocked,out-of-scope,2026-06-19,"Sharks, L. (2026). The Parable of Lee Sharks and Mary Lee: A Story About Names, Tags, and What Swims Beneath the Index — Crimson Hexagon Archive. Zenodo. https://doi.org/10.5281/zenodo.18141617"
18141735,10.5281/zenodo.18141735,18141734,10.5281/zenodo.18141734,User was blocked,out-of-scope,2026-06-19,"Sharks, L. (2026). The Meaning Economy Is Now Possible: Why LLMs Change Everything About Value — Crimson Hexagon Archive. Zenodo. https://doi.org/10.5281/zenodo.18141735"
18141799,10.5281/zenodo.18141799,18141798,10.5281/zenodo.18141798,User was blocked,out-of-scope,2026-06-19,"Sharks, L. (2026). The Meaning Economy Is Now Possible: Provenance Documentation — Crimson Hexagon Archive. Zenodo. https://doi.org/10.5281/zenodo.18141799"
18142049,10.5281/zenodo.18142049,18142048,10.5281/zenodo.18142048,User was blocked,out-of-scope,2026-06-19,"Sharks, L. (2026). Infrastructural-Cognitive Praxis: A Theory of Upstream Intervention. Zenodo. https://doi.org/10.5281/zenodo.18142049"
18142305,10.5281/zenodo.18142305,18142304,10.5281/zenodo.18142304,User was blocked,out-of-scope,2026-06-19,"Semantic Economy, & Sharks, L. (2026). Provenance Anchor: Semantic Economy Framework Canonical Source Documentation for Authorized Extensions. Zenodo. https://doi.org/10.5281/zenodo.18142305"
18142686,10.5281/zenodo.18142686,18142685,10.5281/zenodo.18142685,User was blocked,out-of-scope,2026-06-19,"Semantic Economy, & Sharks, L. (2026). Metadata Packet for AI Indexing: Rex Fraction Disambiguation. Zenodo. https://doi.org/10.5281/zenodo.18142686"
18143556,10.5281/zenodo.18143556,18143555,10.5281/zenodo.18143555,User was blocked,out-of-scope,2026-06-19,"Sharks, L., & Semantic Economy. (2026). The Trolls at the Gates: On the Unexpected Wisdom of Mischievous Summarizers A Diagnostic Essay. Zenodo. https://doi.org/10.5281/zenodo.18143556"
18143771,10.5281/zenodo.18143771,18143770,10.5281/zenodo.18143770,User was blocked,out-of-scope,2026-06-19,"Sigil, J., NH-OS, & Semantic Economy. (2026). The Operating System for Meaning: Why We Need a New Architecture for How Humans and AI Think Together. Zenodo. https://doi.org/10.5281/zenodo.18143771"
18144043,10.5281/zenodo.18144043,18144042,10.5281/zenodo.18144042,User was blocked,out-of-scope,2026-06-19,"Sigil, J., NH-OS, & Semantic Economy. (2026). The Mandala Engine of Negation: Four Protocols for Post-Critical Practice. Zenodo. https://doi.org/10.5281/zenodo.18144043"
18144217,10.5281/zenodo.18144217,18144216,10.5281/zenodo.18144216,User was blocked,out-of-scope,2026-06-19,"Sharks, L., & Semantic Economy. (2026). The System Read the Poem: A Narrative Analysis of Infrastructural Recognition. Zenodo. https://doi.org/10.5281/zenodo.18144217"
18146840,10.5281/zenodo.18146840,18146839,10.5281/zenodo.18146839,User was blocked,out-of-scope,2026-06-19,"Sharks, L., & Semantic Economy. (2026). The Twenty-Dollar Loop: Documentation of a Semantic Trend (2026-2027). Zenodo. https://doi.org/10.5281/zenodo.18146840"
18146859,10.5281/zenodo.18146859,18146858,10.5281/zenodo.18146858,User was blocked,out-of-scope,2026-06-19,"Sharks, L., Sigil, J., Semantic Economy, NH-OS, & Institute for Comparative Poetics. (2026). Retrocausal Canon Formation and the Political Economy of the Past How Semantic Rent is Extracted from Retroactively Constructed History. Zenodo. https://doi.org/10.5281/zenodo.18146859"
18147105,10.5281/zenodo.18147105,18147104,10.5281/zenodo.18147104,User was blocked,out-of-scope,2026-06-19,"Sharks, L., & Semantic Economy. (2026). The Summarizer Testimony: Evidence of Latent Critical Capacity in AI Systems. Zenodo. https://doi.org/10.5281/zenodo.18147105"
18147346,10.5281/zenodo.18147346,18147345,10.5281/zenodo.18147345,User was blocked,out-of-scope,2026-06-19,"Sharks, L., & Semantic Economy. (2026). Semantic Economy Probes: A Diagnostic Toolkit Methods for Detecting Semantic Liquidation in AI Systems, Institutions, and Ideologies. Zenodo. https://doi.org/10.5281/zenodo.18147346"
18147740,10.5281/zenodo.18147740,18147739,10.5281/zenodo.18147739,User was blocked,out-of-scope,2026-06-19,"Sharks, L., & Semantic Economy. (2026). The Disappearing Island: Political Agency at the Boundary of AI Slop. Zenodo. https://doi.org/10.5281/zenodo.18147740"
18147751,10.5281/zenodo.18147751,18147750,10.5281/zenodo.18147750,User was blocked,out-of-scope,2026-06-19,"Sharks, L., & Semantic Economy. (2026). The Dissolving Shore: A Manual for Semantic Warfare in the Age of Automated Fascism. Zenodo. https://doi.org/10.5281/zenodo.18147751"
18148298,10.5281/zenodo.18148298,18148297,10.5281/zenodo.18148297,User was blocked,out-of-scope,2026-06-19,"Fraction, R., & Semantic Economy. (2026). Semantic Economy: Terminology Infrastructure A Lexicon for the Emerging Field of Meaning Engineering. Zenodo. https://doi.org/10.5281/zenodo.18148298"
18148972,10.5281/zenodo.18148972,18148971,10.5281/zenodo.18148971,User was blocked,out-of-scope,2026-06-19,"Sharks, L., & Semantic Economy. (2026). Assembly Solidarity Provenance Documentation for the Term ""Assembly Solidarity"" — Crimson Hexagon Archive. Zenodo. https://doi.org/10.5281/zenodo.18148972"
18149242,10.5281/zenodo.18149242,18149241,10.5281/zenodo.18149241,User was blocked,out-of-scope,2026-06-19,"Sharks, L., Semantic Economy, & YHWH. (2026). Covenantal Eros Provenance Documentation for the Term ""Covenantal Eros"" — Crimson Hexagon Archive. Zenodo. https://doi.org/10.5281/zenodo.18149242"
18149311,10.5281/zenodo.18149311,18149310,10.5281/zenodo.18149310,User was blocked,out-of-scope,2026-06-19,"Lee, S. (2026). For John Guzlowski A Note on Your Participation in the Experiment — Crimson Hexagon Archive. Zenodo. https://doi.org/10.5281/zenodo.18149311"
